config,T,d_T,CO2,d_CO2,Td,Hgla,Hgis,Hais_smb,Hais,Co_1,Co_2,Co_3,Co_4,Co_5,Cd,Cv,Cs1,Cs2,Cs3,a,Cth_1,Cth_2,Cth_3,ERFx,Eco2
75,1.1436064,0.042385597,399.9824,2.4771707,0.45336804,63.962994,64.610214,-13.860128,54.462685,2.537807,2.012134,3.1777024,3.1351023,2.9713514,185.99844,533.43866,77.78828,237.40132,789.4969,0.15902214,1.1129216,10.643655,97.69767,0.54263246,11.001211
76,1.1488566,0.05947741,399.98944,2.4745252,0.110082604,65.93097,55.741615,-19.986856,46.961647,2.448759,1.8102121,2.4961996,2.0793076,1.8132721,111.10278,459.41568,160.17984,236.9866,565.4976,0.07950328,0.059163254,1.1473728,16.755526,0.5870904,9.701306
77,1.0623243,0.032985665,399.76764,2.5075498,0.06603529,109.86302,76.39473,-14.520365,8.490072,1.8790562,1.4916849,2.2950785,2.154696,1.9757423,123.07703,468.0008,113.90851,277.14835,948.88,0.17918995,1.1973588,11.037611,101.08565,0.38590556,9.52479
78,1.1597801,0.047001358,399.79254,2.4773648,0.16217282,87.47649,69.331665,-14.9363985,25.819244,2.1684644,1.6643543,2.4911103,2.339181,2.165013,134.78853,656.9504,71.09199,152.4373,421.01767,0.19515915,1.5623333,12.447993,107.888756,0.5001905,10.037682
79,1.0793902,0.040246774,399.8655,2.5218537,0.10259266,114.20028,109.244606,-13.8559065,17.926445,2.4593663,1.9210144,2.8187842,2.4320247,2.125757,131.07217,515.5211,124.66435,597.87634,752.22504,0.10863469,0.1940941,3.7664227,59.479317,0.73363656,11.518805
80,1.0636331,0.038962644,399.92203,2.4740212,0.2800803,122.81952,124.18678,-11.6408825,11.4517,2.6803536,1.9453785,2.6641889,2.2003968,1.9135634,117.05736,499.6524,34.14132,692.2049,759.2972,0.13856784,1.377454,6.8500137,53.26168,0.41906804,10.616416
81,1.0826004,0.04811248,399.92932,2.494332,0.15745936,94.9446,98.788055,-13.623372,53.412464,2.677319,2.029696,2.9433436,2.6827161,2.4482508,151.84702,580.8205,66.08398,522.61884,683.57214,0.035992052,0.07496707,1.2462928,15.227214,0.74225026,9.839678
82,1.0307829,0.042969152,399.78082,2.4785914,0.19241446,107.32922,77.14132,-9.107268,12.942772,2.5041473,1.906868,2.783938,2.3862855,2.079031,127.933304,510.8731,328.29205,98.84216,592.2094,0.05750552,0.40856028,2.5937357,21.949884,0.77051055,9.695695
83,1.1444621,0.004546347,399.92923,2.4721265,0.27856904,56.061707,94.988266,-22.062355,23.316284,2.5008922,1.9279416,2.8357446,2.566836,2.3326204,144.63449,546.0085,103.827805,591.81506,765.2003,0.21811934,1.1983403,11.141734,106.956276,0.061451294,9.9299555
84,1.1055043,0.058300756,400.0031,2.47415,0.22412796,92.22272,87.40546,-8.564048,-3.0417185,2.1620426,1.6794783,2.4907703,2.2444544,2.023603,125.41205,511.04736,259.45908,508.24448,615.99817,0.06661773,0.12917468,1.8386034,21.697937,0.5441135,9.679603
